Tag_ID,Species,Length_cm,Weight_kg,Stock_Area,Days,Start_date,End_date
140234,BFT,279,363,W_ATL,55,2014-10-01,2014-11-08
140234,BFT,279,363,GSL,56,2014-11-09,2014-11-16
140234,BFT,279,363,W_ATL,57,2014-11-17,2015-02-06
91284,BFT,NA,181,W_ATL,1,2009-08-19,2009-10-17
93550,BFT,NA,45,W_ATL,2,2009-09-11,2010-03-07
93557,BFT,259,227,W_ATL,3,2009-08-12,2009-12-01
93558,BFT,244,45,W_ATL,4,2009-08-16,2009-10-17
95418,BFT,274,295,W_ATL,5,2009-08-08,2009-08-27
95418,BFT,274,295,C_ATL,6,2009-08-30,2009-09-25
95418,BFT,274,295,W_ATL,7,2009-09-25,2009-09-25
95418,BFT,274,295,C_ATL,8,2009-09-28,2009-11-29
97466,BFT,NA,NA,E_ATL,55,2011-05-26,2011-07-19
97462,BFT,NA,NA,E_ATL,3,2011-05-27,2011-05-29
97462,BFT,NA,NA,W_MED,54,2011-05-30,2011-07-22
97462,BFT,NA,NA,E_ATL,84,2011-07-23,2011-10-14
97462,BFT,NA,NA,NE_ATL,11,2011-10-15,2011-10-25
97462,BFT,NA,NA,E_ATL,24,2011-10-26,2011-11-18
97462,BFT,NA,NA,NE_ATL,9,2011-11-19,2011-11-27
97462,BFT,NA,NA,E_ATL,14,2011-11-28,2011-12-11
97462,BFT,NA,NA,C_ATL,22,2011-12-12,2012-01-02
97462,BFT,NA,NA,E_ATL,8,2012-01-03,2012-01-10
97462,BFT,NA,NA,NE_ATL,13,2012-01-11,2012-01-23
97462,BFT,NA,NA,E_ATL,59,2012-01-24,2012-03-22
86243,BFT,NA,NA,E_ATL,53,2011-05-27,2011-07-18
114009,BFT,NA,NA,E_ATL,179,2012-05-16,2012-11-10
114009,BFT,NA,NA,C_ATL,50,2012-11-11,2012-12-30
114009,BFT,NA,NA,E_ATL,20,2012-12-31,2013-01-19
114007,BFT,NA,NA,E_ATL,1,2012-05-16,2012-05-16
114007,BFT,NA,NA,W_MED,58,2012-05-17,2012-07-13
114007,BFT,NA,NA,E_ATL,66,2012-07-14,2012-09-17
66694,BFT,NA,NA,E_ATL,4,2012-05-14,2012-05-17
66694,BFT,NA,NA,W_MED,19,2012-05-18,2012-06-05
118756,BFT,NA,NA,E_ATL,116,2012-05-16,2012-09-08
118756,BFT,NA,NA,C_ATL,5,2012-09-09,2012-09-13
118756,BFT,NA,NA,E_ATL,1,2012-09-14,2012-09-14
118756,BFT,NA,NA,C_ATL,20,2012-09-15,2012-10-04
118756,BFT,NA,NA,E_ATL,4,2012-10-05,2012-10-08
118756,BFT,NA,NA,C_ATL,74,2012-10-09,2012-12-21
118756,BFT,NA,NA,E_ATL,29,2012-12-22,2013-01-19
118758,BFT,NA,NA,E_ATL,32,2012-05-14,2012-06-14
86238E,BFT,NA,NA,E_ATL,4,2012-05-14,2012-05-17
86238E,BFT,NA,NA,W_MED,53,2012-05-18,2012-07-09
86238E,BFT,NA,NA,E_ATL,32,2012-07-10,2012-08-10
86238E,BFT,NA,NA,NE_ATL,6,2012-08-11,2012-08-16
114008,BFT,NA,NA,E_ATL,70,2012-05-15,2012-07-23
114008,BFT,NA,NA,C_ATL,8,2012-07-24,2012-07-31
114006,BFT,NA,NA,E_ATL,3,2012-05-14,2012-05-16
114006,BFT,NA,NA,W_MED,58,2012-05-17,2012-07-13
