Investigator,Contact_Person,Tag_ID,Species,Length_cm,Weight_kg,Stock_Area,Start_Date,End_Date,Days/Area
ICCAT_GBYP,A_DiNatale,120105,BFT,124,,W_MED,2012-10-14,2012-10-30,17
ICCAT_GBYP,A_DiNatale,120105,BFT,124,,SE_ATL,2012-10-31,2012-11-12,13
ICCAT_GBYP,A_DiNatale,120105,BFT,124,,W_MED,2012-11-13,2012-11-21,9
ICCAT_GBYP,A_DiNatale,120107,BFT,99,,SE_ATL,2012-11-09,2012-11-09,1
ICCAT_GBYP,A_DiNatale,120107,BFT,99,,W_MED,2012-11-10,2013-05-03,175
ICCAT_GBYP,A_DiNatale,120108,BFT,115,,SE_ATL,2012-10-21,2013-05-12,204
ICCAT_GBYP,A_DiNatale,120108,BFT,115,,W_MED,2013-05-13,2013-05-20,8
ICCAT_GBYP,A_DiNatale,120109,BFT,107,,SE_ATL,2012-10-12,2012-10-12,1
ICCAT_GBYP,A_DiNatale,120109,BFT,107,,W_MED,2012-10-13,2012-12-26,75
ICCAT_GBYP,A_DiNatale,120109,BFT,107,,SE_ATL,2012-12-27,2013-05-04,129
ICCAT_GBYP,A_DiNatale,120109,BFT,107,,W_MED,2013-05-05,2013-05-08,4
ICCAT_GBYP,A_DiNatale,120110,BFT,105,,SE_ATL,2012-10-14,2012-10-14,1
ICCAT_GBYP,A_DiNatale,120110,BFT,105,,W_MED,2012-10-15,2013-06-25,254
ICCAT_GBYP,A_DiNatale,120111,BFT,113,,SE_ATL,2012-10-12,2012-10-12,1
ICCAT_GBYP,A_DiNatale,120111,BFT,113,,W_MED,2012-10-13,2012-12-31,80
ICCAT_GBYP,A_DiNatale,120112,BFT,99,,W_MED,2012-10-02,2012-12-16,76
ICCAT_GBYP,A_DiNatale,120113,BFT,94,,W_MED,2012-10-08,2012-12-24,78
ICCAT_GBYP,A_DiNatale,120114,BFT,108,,E_ATL,2012-08-18,2012-09-19,33
ICCAT_GBYP,A_DiNatale,120115,BFT,105,,E_ATL,2012-08-18,2012-12-21,126
ICCAT_GBYP,A_DiNatale,120116,BFT,105,,E_ATL,2012-08-18,2012-11-11,86
ICCAT_GBYP,A_DiNatale,120117,BFT,105,,E_ATL,2012-08-07,2012-09-28,53
ICCAT_GBYP,A_DiNatale,120118,BFT,105,,E_ATL,2012-08-18,2012-09-24,38
