Year,Subyear,Age,Catch_offBrasil
1959,1,17,5.228602616
1960,1,17,1.025345643
1961,1,17,6.926394303
1962,1,17,5.113883568
1963,1,17,33.73540866
1964,1,17,104.5491185
1957,2,17,0.146436102
1958,2,17,0.566985935
1959,2,17,0.660048332
1960,2,17,5.293122789
1961,2,17,1.252241503
1962,2,17,11.78441713
1963,2,17,192.9985535
1964,2,17,231.1562011
1957,3,17,0.011264349
1959,3,17,0.080949221
1960,3,17,0.850403576
1961,3,17,0.179747521
1962,3,17,4.952319631
1963,3,17,4.641461607
1964,3,17,1.410800821
1957,4,17,1.137697498
1958,4,17,0.139565892
1959,4,17,1.787113492
1960,4,17,7.246474434
1961,4,17,6.836399066
1962,4,17,29.52682149
1963,4,17,22.06874472
1964,4,17,8.769684983
1958,1,18,0.539727189
1959,1,18,4.878583083
1960,1,18,0.956705697
1961,1,18,6.462719115
1962,1,18,4.771543698
1963,1,18,31.47705153
1964,1,18,97.55026308
1957,2,18,0.13412711
1958,2,18,0.519326749
1959,2,18,0.604566591
1960,2,18,4.848198303
1961,2,18,1.146981729
1962,2,18,10.79385335
1963,2,18,176.7756572
1964,2,18,211.725884
1957,3,18,0.0103175
1959,3,18,0.074144865
1960,3,18,0.778921128
1961,3,18,0.164638467
1962,3,18,4.536042065
1963,3,18,4.251313862
1964,3,18,1.292213013
1957,4,18,1.04206596
1958,4,18,0.12783439
1959,4,18,1.636893936
1960,4,18,6.637356897
1961,4,18,6.261751271
1962,4,18,27.04488286
1963,4,18,20.21371031
1964,4,18,8.032530804
1958,1,19,0.508266483
1959,1,19,4.594210395
1960,1,19,0.900939306
1961,1,19,6.086007111
1962,1,19,4.493410337
1963,1,19,29.64225368
1964,1,19,91.86405665
1957,2,19,0.124172432
1958,2,19,0.480783233
1959,2,19,0.559696725
1960,2,19,4.488373574
1961,2,19,1.061854768
1962,2,19,9.992752584
1963,2,19,163.6556797
1964,2,19,196.0119623
1957,3,19,0.009551754
1959,3,19,0.068641964
1960,3,19,0.721110976
1961,3,19,0.152419291
1962,3,19,4.199385022
1963,3,19,3.935788844
1964,3,19,1.196307242
1957,4,19,0.964725662
1958,4,19,0.118346747
1959,4,19,1.515406555
1960,4,19,6.144743973
1961,4,19,5.797015133
1962,4,19,25.03765935
1963,4,19,18.71348438
1964,4,19,7.436370532
1958,1,20,0.482965586
1959,1,20,4.365516108
1960,1,20,0.856091627
1961,1,20,5.783052972
1962,1,20,4.269733756
1963,1,20,28.16669782
1964,1,20,87.29117401
1957,2,20,0.116208742
1958,2,20,0.44994862
1959,2,20,0.523801064
1960,2,20,4.200515651
1961,2,20,0.993753639
1962,2,20,9.351876115
1963,2,20,153.1597654
1964,2,20,183.4409061
1957,3,20,0.00893916
1959,3,20,0.064239672
1960,3,20,0.674863152
1961,3,20,0.142644012
1962,3,20,3.930061127
1963,3,20,3.68337046
1964,3,20,1.119583121
1957,4,20,0.902853823
1958,4,20,0.110756681
1959,4,20,1.418217277
1960,4,20,5.750656179
1961,4,20,5.425228625
1962,4,20,23.43189091
1963,4,20,17.51331138
1964,4,20,6.959445395
1958,1,21,0.462721897
1959,1,21,4.182533809
1960,1,21,0.820208215
1961,1,21,5.540654066
1962,1,21,4.090766211
1963,1,21,26.98607977
1964,1,21,83.63233063
1957,2,21,0.109870079
1958,2,21,0.425405954
1959,2,21,0.49523008
1960,2,21,3.971396482
1961,2,21,0.939548863
1962,2,21,8.841773485
1963,2,21,144.8055915
1964,2,21,173.4350326
1957,3,21,0.008451569
1959,3,21,0.060735688
1960,3,21,0.638052413
1961,3,21,0.134863425
1962,3,21,3.715694032
1963,3,21,3.482459227
1964,3,21,1.058514915
1957,4,21,0.853607223
1958,4,21,0.104715404
1959,4,21,1.340859926
1960,4,21,5.436983841
1961,4,21,5.129306892
1962,4,21,22.15378703
1963,4,21,16.5580393
1964,4,21,6.579839062
1958,1,22,0.446562051
1959,1,22,4.036465297
1960,1,22,0.791563714
1961,1,22,5.347155308
1962,1,22,3.947902541
1963,1,22,26.04363275
1964,1,22,80.71160108
1957,2,22,0.104834749
1958,2,22,0.40590966
1959,2,22,0.472533756
1960,2,22,3.789387949
1961,2,22,0.896489473
1962,2,22,8.436556271
1963,2,22,138.169172
1964,2,22,165.4865299
1957,3,22,0.008064235
1959,3,22,0.05795218
1960,3,22,0.608810563
1961,3,22,0.128682654
1962,3,22,3.545404306
1963,3,22,3.322858619
1964,3,22,1.010003328
1957,4,22,0.814486526
1958,4,22,0.099916312
1959,4,22,1.279408508
1960,4,22,5.187807649
1961,4,22,4.89423149
1962,4,22,21.13848214
1963,4,22,15.79918672
1964,4,22,6.278285979
1958,1,23,0.433672327
1959,1,23,3.919955342
1960,1,23,0.76871574
1961,1,23,5.192813135
1962,1,23,3.833948892
1963,1,23,25.29190017
1964,1,23,78.38191302
1957,2,23,0.100835898
1958,2,23,0.390426507
1959,2,23,0.454509272
1960,2,23,3.644844276
1961,2,23,0.862293481
1962,2,23,8.114749464
1963,2,23,132.8988012
1964,2,23,159.1741567
1957,3,23,0.00775663
1959,3,23,0.055741633
1960,3,23,0.58558789
1961,3,23,0.12377414
1962,3,23,3.410167226
1963,3,23,3.196110395
1964,3,23,0.971477425
1957,4,23,0.783418481
1958,4,23,0.096105071
1959,4,23,1.230606324
1960,4,23,4.98992219
1961,4,23,4.707544298
1962,4,23,20.33216885
1963,4,23,15.19653729
1964,4,23,6.038804952
1958,1,24,0.423390587
1959,1,24,3.827018899
1960,1,24,0.750490608
1961,1,24,5.069699084
1962,1,24,3.743051537
1963,1,24,24.69226598
1964,1,24,76.5235918
1957,2,24,0.097658302
1958,2,24,0.378123172
1959,2,24,0.440186526
1960,2,24,3.52998594
1961,2,24,0.835120415
1962,2,24,7.859033019
1963,2,24,128.7108211
1964,2,24,154.1581732
1957,3,24,0.007512199
1959,3,24,0.053985072
1960,3,24,0.567134523
1961,3,24,0.119873701
1962,3,24,3.302704162
1963,3,24,3.095392808
1964,3,24,0.940863695
1957,4,24,0.758730967
1958,4,24,0.093076556
1959,4,24,1.191826782
1960,4,24,4.832677019
1961,4,24,4.559197575
1962,4,24,19.69145037
1963,4,24,14.71765566
1964,4,24,5.848506811
1958,1,25,0.415185443
1959,1,25,3.752852773
1960,1,25,0.735946394
1961,1,25,4.971450305
1962,1,25,3.670512666
1963,1,25,24.21373955
1964,1,25,75.0405946
1957,2,25,0.095130779
1958,2,25,0.368336857
1959,2,25,0.428793931
1960,2,25,3.438625354
1961,2,25,0.813506422
1962,2,25,7.655631116
1963,2,25,125.3796192
1964,2,25,150.168361
1957,3,25,0.007317774
1959,3,25,0.052587868
1960,3,25,0.55245635
1961,3,25,0.116771215
1962,3,25,3.217225922
1963,3,25,3.015280053
1964,3,25,0.91651293
1957,4,25,0.739094032
1958,4,25,0.090667614
1959,4,25,1.160980769
1960,4,25,4.70760111
1961,4,25,4.441199666
1962,4,25,19.18181025
1963,4,25,14.33674376
1964,4,25,5.697139918
1958,1,26,0.408633352
1959,1,26,3.693628558
1960,1,26,0.724332337
1961,1,26,4.892995257
1962,1,26,3.61258787
1963,1,26,23.83161965
1964,1,26,73.85637007
1957,2,26,0.093118049
1958,2,26,0.360543768
1959,2,26,0.419721722
1960,2,26,3.365872622
1961,2,26,0.796294656
1962,2,26,7.493657064
1963,2,26,122.7268993
1964,2,26,146.9911732
1957,3,26,0.007162948
1959,3,26,0.05147524
1960,3,26,0.540767752
1961,3,26,0.114300628
1962,3,26,3.149157449
1963,3,26,2.951484251
1964,3,26,0.897121803
1957,4,26,0.723456646
1958,4,26,0.088749314
1959,4,26,1.136417312
1960,4,26,4.608000017
1961,4,26,4.347234963
1962,4,26,18.77597101
1963,4,26,14.03341404
1964,4,26,5.576602653
1958,1,27,0.403397734
1959,1,27,3.646303911
1960,1,27,0.715051823
1961,1,27,4.830303715
1962,1,27,3.566301558
1963,1,27,23.52627683
1964,1,27,72.91008471
1957,2,27,0.091513447
1958,2,27,0.354330911
1959,2,27,0.412489115
1960,2,27,3.307872215
1961,2,27,0.78257298
1962,2,27,7.364527056
1963,2,27,120.6120807
1964,2,27,144.4582348
1957,3,27,0.007039517
1959,3,27,0.050588224
1960,3,27,0.531449292
1961,3,27,0.11233101
1962,3,27,3.094891458
1963,3,27,2.900624546
1964,3,27,0.881662683
1957,4,27,0.710990108
1958,4,27,0.087219994
1959,4,27,1.116834674
1960,4,27,4.528595385
1961,4,27,4.27232381
1962,4,27,18.45242521
1963,4,27,13.79159154
1964,4,27,5.480507149
1958,1,28,0.399211343
1959,1,28,3.60846321
1960,1,28,0.70763114
1961,1,28,4.780175671
1962,1,28,3.529291106
1963,1,28,23.28212526
1964,1,28,72.15343665
1957,2,28,0.090232874
1958,2,28,0.349372659
1959,2,28,0.406717038
1960,2,28,3.261584221
1961,2,28,0.771622214
1962,2,28,7.261473141
1963,2,28,118.9243216
1964,2,28,142.4367898
1957,3,28,0.006941011
1959,3,28,0.049880328
1960,3,28,0.524012572
1961,3,28,0.11075913
1962,3,28,3.051583765
1963,3,28,2.860035285
1964,3,28,0.869325327
1957,4,28,0.701041022
1958,4,28,0.0859995
1959,4,28,1.10120649
1960,4,28,4.465225466
1961,4,28,4.212539972
1962,4,28,18.19421519
1963,4,28,13.59860189
1964,4,28,5.40381686
1958,1,29,0.395861923
1959,1,29,3.578187863
1960,1,29,0.701694048
1961,1,29,4.740069546
1962,1,29,3.499680021
1963,1,29,23.08678603
1964,1,29,71.54806251
1957,2,29,0.089209941
1958,2,29,0.345411965
1959,2,29,0.402106255
1960,2,29,3.224608989
1961,2,29,0.762874652
1962,2,29,7.179152821
1963,2,29,117.5761257
1964,2,29,140.8220428
1957,3,29,0.006862323
1959,3,29,0.049314856
1960,3,29,0.518072058
1961,3,29,0.1095035
1962,3,29,3.016989221
1963,3,29,2.827612246
1964,3,29,0.859470145
1957,4,29,0.69309361
1958,4,29,0.085024559
1959,4,29,1.088722567
1960,4,29,4.41460505
1961,4,29,4.164784147
1962,4,29,17.98795489
1963,4,29,13.44444016
1964,4,29,5.342556021
1958,1,30,0.39318074
1959,1,30,3.553952711
1960,1,30,0.696941458
1961,1,30,4.707964941
1962,1,30,3.475976604
1963,1,30,22.93041867
1964,1,30,71.06346577
1957,2,30,0.088392153
1958,2,30,0.342245574
1959,2,30,0.398420147
1960,2,30,3.195048998
1961,2,30,0.75588138
1962,2,30,7.113341525
1963,2,30,116.4983054
1964,2,30,139.5311271
1957,3,30,0.006799416
1959,3,30,0.048862786
1960,3,30,0.513322891
1961,3,30,0.108499681
1962,3,30,2.98933248
1963,3,30,2.801691524
1964,3,30,0.851591382
1957,4,30,0.68674002
1958,4,30,0.084245139
1959,4,30,1.078742247
1960,4,30,4.374136365
1961,4,30,4.12660557
1962,4,30,17.82305931
1963,4,30,13.32119497
1964,4,30,5.293580809
1958,1,31,0.391033516
1959,1,31,3.534543995
1960,1,31,0.693135347
1961,1,31,4.682253976
1962,1,31,3.456993729
1963,1,31,22.80519191
1964,1,31,70.67537658
1957,2,31,0.087737921
1958,2,31,0.339712452
1959,2,31,0.395471251
1960,2,31,3.171400923
1961,2,31,0.750286743
1962,2,31,7.060692307
1963,2,31,115.6360461
1964,2,31,138.498391
1957,3,31,0.006749091
1959,3,31,0.04850113
1960,3,31,0.509523545
1961,3,31,0.107696624
1962,3,31,2.967207011
1963,3,31,2.780954875
1964,3,31,0.84528835
1957,4,31,0.681657131
1958,4,31,0.083621601
1959,4,31,1.070757963
1960,4,31,4.341761305
1961,4,31,4.096062603
1962,4,31,17.69114238
1963,4,31,13.22259848
1964,4,31,5.254400504
1958,1,32,0.389313262
1959,1,32,3.518994656
1960,1,32,0.690086072
1961,1,32,4.661655575
1962,1,32,3.441785552
1963,1,32,22.7048662
1964,1,32,70.364458
1957,2,32,0.087214232
1958,2,32,0.33768478
1959,2,32,0.393110767
1960,2,32,3.152471509
1961,2,32,0.745808442
1962,2,32,7.018548544
1963,2,32,114.9458392
1964,2,32,137.6717237
1957,3,32,0.006708807
1959,3,32,0.048211637
1960,3,32,0.506482308
1961,3,32,0.107053805
1962,3,32,2.949496386
1963,3,32,2.76435595
1964,3,32,0.840243004
1957,4,32,0.677588466
1958,4,32,0.083122481
1959,4,32,1.064366838
1960,4,32,4.315846259
1961,4,32,4.07161408
1962,4,32,17.58554773
1963,4,32,13.14367562
1964,4,32,5.22303811
1958,1,33,0.387934642
1959,1,33,3.506533339
1960,1,33,0.687642368
1961,1,33,4.645147916
1962,1,33,3.429597646
1963,1,33,22.62446468
1964,1,33,70.11528633
1957,2,33,0.086794838
1958,2,33,0.336060929
1959,2,33,0.391220384
1960,2,33,3.137311969
1961,2,33,0.742222014
1962,2,33,6.984797893
1963,2,33,114.3930901
1964,2,33,137.0096907
1957,3,33,0.006676546
1959,3,33,0.047979798
1960,3,33,0.504046746
1961,3,33,0.106539007
1962,3,33,2.935312909
1963,3,33,2.751062772
1964,3,33,0.836202461
1957,4,33,0.674330092
1958,4,33,0.082722763
1959,4,33,1.059248533
1960,4,33,4.295092307
1961,4,33,4.052034587
1962,4,33,17.50098272
1963,4,33,13.08047058
1964,4,33,5.197921672
1958,1,34,0.386829522
1959,1,34,3.496544178
1960,1,34,0.685683461
1961,1,34,4.63191515
1962,1,34,3.419827653
1963,1,34,22.56001372
1964,1,34,69.91554692
1957,2,34,0.086458836
1958,2,34,0.334759962
1959,2,34,0.389705883
1960,2,34,3.125166738
1961,2,34,0.739348707
1962,2,34,6.957758189
1963,2,34,113.950249
1964,2,34,136.4792958
1957,3,34,0.006650699
1959,3,34,0.047794057
1960,3,34,0.502095469
1961,3,34,0.106126571
1962,3,34,2.923949661
1963,3,34,2.740412797
1964,3,34,0.832965336
1957,4,34,0.671719611
1958,4,34,0.082402525
1959,4,34,1.055147946
1960,4,34,4.278465051
1961,4,34,4.036348261
1962,4,34,17.43323253
1963,4,34,13.02983318
1964,4,34,5.177799363
1958,1,35,0.385943453
1959,1,35,3.488535016
1960,1,35,0.684112839
1961,1,35,4.621305315
1962,1,35,3.411994218
1963,1,35,22.50833789
1964,1,35,69.75539881
1957,2,35,0.086189558
1958,2,35,0.333717343
1959,2,35,0.388492133
1960,2,35,3.115433315
1961,2,35,0.737045984
1962,2,35,6.936088049
1963,2,35,113.5953477
1964,2,35,136.054227
1957,3,35,0.006629986
1959,3,35,0.047645201
1960,3,35,0.500531678
1961,3,35,0.105796037
1962,3,35,2.914842935
1963,3,35,2.731877702
1964,3,35,0.830371041
1957,4,35,0.66962752
1958,4,35,0.08214588
1959,4,35,1.051861657
1960,4,35,4.265139647
1961,4,35,4.023776937
1962,4,35,17.37893622
1963,4,35,12.98925138
1964,4,35,5.161672957
